Innovator U.S. Equity Buffer ETF (BJAN)
As of 10/3/2023
Date,Ticker,Fund Price,Fund Return,Index,Index Level,Index Return,Remaining Cap,Remaining Buffer,Downside Before Buffer,Remaining Outcome Period,
12-31-2022,BJAN,$33.11,0.00%,SPDR S&P 500 ETF Trust,382.44,0.00%,25.06%,9.00%,0.00%,365 days,
01-03-2023,BJAN,$32.90,-0.62%,SPDR S&P 500 ETF Trust,380.82,-0.42%,25.83%,9.23%,0.00%,362 days,
01-04-2023,BJAN,$33.06,-0.13%,SPDR S&P 500 ETF Trust,383.76,0.35%,25.21%,9.43%,0.00%,361 days,
01-05-2023,BJAN,$32.79,-0.95%,SPDR S&P 500 ETF Trust,379.38,-0.80%,26.25%,9.22%,0.00%,360 days,
01-06-2023,BJAN,$33.40,0.90%,SPDR S&P 500 ETF Trust,388.08,1.47%,23.93%,9.42%,-0.91%,359 days,
01-09-2023,BJAN,$33.39,0.87%,SPDR S&P 500 ETF Trust,387.86,1.42%,23.96%,9.39%,-0.88%,356 days,
01-10-2023,BJAN,$33.68,1.73%,SPDR S&P 500 ETF Trust,390.58,2.13%,22.90%,9.17%,-1.73%,355 days,
01-11-2023,BJAN,$33.91,2.42%,SPDR S&P 500 ETF Trust,395.52,3.42%,22.08%,9.62%,-2.39%,354 days,
01-12-2023,BJAN,$34.03,2.80%,SPDR S&P 500 ETF Trust,396.96,3.80%,21.63%,9.58%,-2.75%,353 days,
01-13-2023,BJAN,$34.23,3.38%,SPDR S&P 500 ETF Trust,398.50,4.20%,20.93%,9.37%,-3.30%,352 days,
01-17-2023,BJAN,$34.21,3.33%,SPDR S&P 500 ETF Trust,397.77,4.01%,20.98%,9.25%,-3.26%,348 days,
01-18-2023,BJAN,$33.73,1.88%,SPDR S&P 500 ETF Trust,391.49,2.37%,22.71%,9.22%,-1.88%,347 days,
01-19-2023,BJAN,$33.65,1.63%,SPDR S&P 500 ETF Trust,388.64,1.62%,23.00%,8.81%,-1.64%,346 days,
01-20-2023,BJAN,$34.07,2.92%,SPDR S&P 500 ETF Trust,395.88,3.51%,21.46%,9.21%,-2.88%,345 days,
01-23-2023,BJAN,$34.38,3.84%,SPDR S&P 500 ETF Trust,400.63,4.76%,20.37%,9.38%,-3.75%,342 days,
01-24-2023,BJAN,$34.42,3.98%,SPDR S&P 500 ETF Trust,400.20,4.64%,20.21%,9.16%,-3.88%,341 days,
01-25-2023,BJAN,$34.39,3.87%,SPDR S&P 500 ETF Trust,400.35,4.68%,20.33%,9.29%,-3.78%,340 days,
01-26-2023,BJAN,$34.66,4.70%,SPDR S&P 500 ETF Trust,404.75,5.83%,19.37%,9.47%,-4.55%,339 days,
01-27-2023,BJAN,$34.70,4.81%,SPDR S&P 500 ETF Trust,405.68,6.08%,19.25%,9.57%,-4.64%,338 days,
01-30-2023,BJAN,$34.36,3.78%,SPDR S&P 500 ETF Trust,400.59,4.75%,20.43%,9.42%,-3.71%,335 days,
01-31-2023,BJAN,$34.80,5.12%,SPDR S&P 500 ETF Trust,406.48,6.29%,18.89%,9.45%,-4.94%,334 days,
02-01-2023,BJAN,$35.05,5.89%,SPDR S&P 500 ETF Trust,410.80,7.42%,18.03%,9.65%,-5.63%,333 days,
02-02-2023,BJAN,$35.50,7.23%,SPDR S&P 500 ETF Trust,416.78,8.98%,16.55%,9.69%,-6.81%,332 days,
02-03-2023,BJAN,$35.14,6.15%,SPDR S&P 500 ETF Trust,412.35,7.82%,17.72%,9.73%,-5.87%,331 days,
02-06-2023,BJAN,$34.94,5.55%,SPDR S&P 500 ETF Trust,409.83,7.16%,18.39%,9.75%,-5.34%,328 days,
02-07-2023,BJAN,$35.29,6.60%,SPDR S&P 500 ETF Trust,415.19,8.56%,17.22%,9.90%,-6.27%,327 days,
02-08-2023,BJAN,$35.00,5.73%,SPDR S&P 500 ETF Trust,410.65,7.38%,18.18%,9.75%,-5.51%,326 days,
02-09-2023,BJAN,$34.80,5.11%,SPDR S&P 500 ETF Trust,407.09,6.45%,18.88%,9.57%,-4.94%,325 days,
02-10-2023,BJAN,$34.82,5.19%,SPDR S&P 500 ETF Trust,408.04,6.69%,18.79%,9.69%,-5.02%,324 days,
02-13-2023,BJAN,$35.08,5.98%,SPDR S&P 500 ETF Trust,412.83,7.95%,17.89%,9.96%,-5.73%,321 days,
02-14-2023,BJAN,$35.12,6.08%,SPDR S&P 500 ETF Trust,412.64,7.90%,17.78%,9.83%,-5.83%,320 days,
02-15-2023,BJAN,$35.31,6.66%,SPDR S&P 500 ETF Trust,413.98,8.25%,17.13%,9.59%,-6.35%,319 days,
02-16-2023,BJAN,$34.85,5.27%,SPDR S&P 500 ETF Trust,408.28,6.76%,18.67%,9.65%,-5.11%,318 days,
02-17-2023,BJAN,$34.79,5.08%,SPDR S&P 500 ETF Trust,407.26,6.49%,18.89%,9.61%,-4.94%,317 days,
02-21-2023,BJAN,$34.33,3.70%,SPDR S&P 500 ETF Trust,399.09,4.35%,20.46%,9.11%,-3.68%,313 days,
02-22-2023,BJAN,$34.24,3.43%,SPDR S&P 500 ETF Trust,398.54,4.21%,20.77%,9.24%,-3.43%,312 days,
02-23-2023,BJAN,$34.47,4.13%,SPDR S&P 500 ETF Trust,400.66,4.76%,19.96%,9.05%,-4.09%,311 days,
