Date,Open,High,Low,Close,Adj Close,Volume
2022-10-03,31.389999,31.805000,31.389999,31.730000,31.730000,58800
2022-10-04,32.320000,32.520000,32.308998,32.500000,32.500000,5200
2022-10-05,32.119999,32.580002,32.009998,32.459999,32.459999,6600
2022-10-06,32.340000,32.400002,32.150002,32.169998,32.169998,48500
2022-10-07,31.620001,31.709999,31.240000,31.410000,31.410000,39500
2022-10-10,31.299999,31.350000,31.110001,31.280001,31.280001,6600
2022-10-11,30.885000,31.290001,30.861000,31.010000,31.010000,19600
2022-10-12,31.000000,31.100000,30.940001,30.940001,30.940001,8000
2022-10-13,30.639999,31.670000,30.620001,31.670000,31.670000,7100
2022-10-14,31.270000,31.360001,30.959999,30.980000,30.980000,90500
2022-10-17,31.690001,31.740000,31.650000,31.681999,31.681999,4400
2022-10-18,32.299999,32.299999,31.770000,31.980000,31.980000,11800
2022-10-19,31.830000,31.990000,31.600000,31.860001,31.860001,24900
2022-10-20,31.860001,32.064999,31.559999,31.625000,31.625000,7600
2022-10-21,31.549999,32.290001,31.549999,32.290001,32.290001,9800
2022-10-24,32.380001,32.610001,32.279999,32.560001,32.560001,16900
2022-10-25,32.709999,33.009998,32.709999,33.002998,33.002998,12700
2022-10-26,32.910000,33.077000,32.779999,32.833000,32.833000,74500
2022-10-27,32.768002,32.965000,32.646999,32.646999,32.646999,46300
2022-10-28,32.930000,33.332001,32.770000,33.332001,33.332001,12800
2022-10-31,33.130001,33.250000,33.119999,33.146000,33.146000,13200
2022-11-01,33.389999,33.389999,32.959999,33.063999,33.063999,15600
2022-11-02,32.910000,33.174999,32.290001,32.299999,32.299999,9700
2022-11-03,32.009998,32.160000,31.990000,31.990000,31.990000,2800
2022-11-04,32.230999,32.590000,32.009998,32.404999,32.404999,13500
2022-11-07,32.549999,32.710999,32.439999,32.691002,32.691002,78700
2022-11-08,32.720001,33.080002,32.610001,32.886002,32.886002,12300
2022-11-09,32.790001,32.790001,32.283001,32.283001,32.283001,2000
2022-11-10,33.310001,33.790001,33.259998,33.790001,33.790001,12400
2022-11-11,33.779999,34.098999,33.779999,34.098999,34.098999,4200
2022-11-14,34.080002,34.139999,33.889000,33.889000,33.889000,4000
2022-11-15,34.320000,34.334999,33.950001,34.088001,34.088001,3100
2022-11-16,33.941002,34.020000,33.849998,33.924000,33.924000,25900
2022-11-17,33.509998,33.855000,33.509998,33.776001,33.776001,5300
2022-11-18,33.904999,34.000000,33.820000,33.946999,33.946999,7000
