Date,Account,StockTicker,CUSIP,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits,MoneyMarketFlag
10/20/2023,APRD,4SPX  240328P03656950,4SPX  240328P03656950,SPX 03/28/2024 3656.95 P,195.00,51.213300,998659.35,12.50%,7989702.50,325000,13.000000000000,
10/20/2023,APRD,4SPX  240328P03698040,4SPX  240328P03698040,SPX 03/28/2024 3698.04 P,-208.00,55.080700,-1145678.56,-14.34%,7989702.50,325000,13.000000000000,
10/20/2023,APRD,4XSP  240328P00369800,4XSP  240328P00369800,XSP 03/28/2024 369.8 P,-65.00,5.411300,-35173.45,-0.44%,7989702.50,325000,13.000000000000,
10/20/2023,APRD,912796ZN2,912796ZN2,UNITED STATES TREAS BILLS 12/28/2023,185600.00,98.984486,183715.21,2.30%,7989702.50,325000,13.000000000000,
10/20/2023,APRD,912797LL9,912797LL9,UNITED STATES TREAS BILLS 03/21/2024,8164100.00,97.746437,7980116.86,99.88%,7989702.50,325000,13.000000000000,
10/20/2023,APRD,Cash&Other,Cash&Other,Cash & Other,7549.30,1.000000,7549.30,0.09%,7989702.50,325000,13.000000000000,Y
10/20/2023,APRH,4SPX  240328P03246050,4SPX  240328P03246050,SPX 03/28/2024 3246.05 P,1286.00,26.065100,3351971.86,12.67%,26448977.50,1075000,43.000000000000,
10/20/2023,APRH,4SPX  240328P03287140,4SPX  240328P03287140,SPX 03/28/2024 3287.14 P,-1329.00,27.780900,-3692081.61,-13.96%,26448977.50,1075000,43.000000000000,
10/20/2023,APRH,4XSP  240328P00328710,4XSP  240328P00328710,XSP 03/28/2024 328.71 P,-213.00,2.698900,-57486.57,-0.22%,26448977.50,1075000,43.000000000000,
10/20/2023,APRH,912796ZN2,912796ZN2,UNITED STATES TREAS BILLS 12/28/2023,523300.00,98.984486,517985.82,1.96%,26448977.50,1075000,43.000000000000,
10/20/2023,APRH,912797LL9,912797LL9,UNITED STATES TREAS BILLS 03/21/2024,26913500.00,97.746437,26306987.32,99.46%,26448977.50,1075000,43.000000000000,
10/20/2023,APRH,Cash&Other,Cash&Other,Cash & Other,19896.97,1.000000,19896.97,0.08%,26448977.50,1075000,43.000000000000,Y
10/20/2023,APRJ,4SPX  240328P02835160,4SPX  240328P02835160,SPX 03/28/2024 2835.16 P,3765.00,14.331800,5395922.70,10.46%,51602880.00,2100000,84.000000000000,
10/20/2023,APRJ,4SPX  240328P02876250,4SPX  240328P02876250,SPX 03/28/2024 2876.25 P,-3849.00,15.177900,-5841973.71,-11.32%,51602880.00,2100000,84.000000000000,
10/20/2023,APRJ,4XSP  240328P00287630,4XSP  240328P00287630,XSP 03/28/2024 287.63 P,-415.00,1.474200,-61179.30,-0.12%,51602880.00,2100000,84.000000000000,
10/20/2023,APRJ,912796ZN2,912796ZN2,UNITED STATES TREAS BILLS 12/28/2023,841100.00,98.984486,832558.51,1.61%,51602880.00,2100000,84.000000000000,
10/20/2023,APRJ,912797LL9,912797LL9,UNITED STATES TREAS BILLS 03/21/2024,52394800.00,97.746437,51214050.17,99.25%,51602880.00,2100000,84.000000000000,
10/20/2023,APRJ,Cash&Other,Cash&Other,Cash & Other,60186.14,1.000000,60186.14,0.12%,51602880.00,2100000,84.000000000000,Y
10/20/2023,APRQ,4SPX  240328P02424270,4SPX  240328P02424270,SPX 03/28/2024 2424.27 P,3408.00,8.159000,2780587.20,7.95%,34955392.50,1425000,57.000000000000,
10/20/2023,APRQ,4SPX  240328P02465360,4SPX  240328P02465360,SPX 03/28/2024 2465.36 P,-3465.00,8.630300,-2990398.95,-8.55%,34955392.50,1425000,57.000000000000,
10/20/2023,APRQ,4XSP  240328P00246540,4XSP  240328P00246540,XSP 03/28/2024 246.54 P,-282.00,0.851100,-24001.02,-0.07%,34955392.50,1425000,57.000000000000,
10/20/2023,APRQ,912796ZN2,912796ZN2,UNITED STATES TREAS BILLS 12/28/2023,480900.00,98.984486,476016.39,1.36%,34955392.50,1425000,57.000000000000,
10/20/2023,APRQ,912797LL9,912797LL9,UNITED STATES TREAS BILLS 03/21/2024,35459000.00,97.746437,34659909.10,99.15%,34955392.50,1425000,57.000000000000,
10/20/2023,APRQ,Cash&Other,Cash&Other,Cash & Other,51038.90,1.000000,51038.90,0.15%,34955392.50,1425000,57.000000000000,Y
10/20/2023,BALT,4SPY  231229C00001070,4SPY  231229C00001070,SPY 12/29/2023 1.07 C,11220.00,423.556800,475230729.60,99.09%,479595675.00,17225000,689.000000000000,
10/20/2023,BALT,4SPY  231229C00439490,4SPY  231229C00439490,SPY 12/29/2023 439.49 C,-11220.00,7.395500,-8297751.00,-1.73%,479595675.00,17225000,689.000000000000,
10/20/2023,BALT,4SPY  231229P00341980,4SPY  231229P00341980,SPY 12/29/2023 341.98 P,-11220.00,1.279400,-1435486.80,-0.30%,479595675.00,17225000,689.000000000000,
10/20/2023,BALT,4SPY  231229P00427480,4SPY  231229P00427480,SPY 12/29/2023 427.48 P,11220.00,12.176900,13662481.80,2.85%,479595675.00,17225000,689.000000000000,
10/20/2023,BALT,Cash&Other,Cash&Other,Cash & Other,408762.12,1.000000,408762.12,0.09%,479595675.00,17225000,689.000000000000,Y
10/20/2023,BAPR,2SPY  240328C00004110,2SPY  240328C00004110,SPY 03/28/2024 4.11 C,3617.00,419.358400,151681933.28,98.63%,153794080.00,4400000,176.000000000000,
10/20/2023,BAPR,2SPY  240328C00491840,2SPY  240328C00491840,SPY 03/28/2024 491.84 C,-3617.00,1.051600,-380363.72,-0.25%,153794080.00,4400000,176.000000000000,
10/20/2023,BAPR,2SPY  240328P00372540,2SPY  240328P00372540,SPY 03/28/2024 372.54 P,-3617.00,5.892200,-2131208.74,-1.39%,153794080.00,4400000,176.000000000000,
10/20/2023,BAPR,2SPY  240328P00409400,2SPY  240328P00409400,SPY 03/28/2024 409.4 P,3617.00,11.895500,4302602.35,2.80%,153794080.00,4400000,176.000000000000,
10/20/2023,BAPR,Cash&Other,Cash&Other,Cash & Other,311283.86,1.000000,311283.86,0.20%,153794080.00,4400000,176.000000000000,Y
10/20/2023,BAUG,2SPY  240731C00004590,2SPY  240731C00004590,SPY 07/31/2024 4.59 C,4299.00,417.289800,179392885.02,96.48%,185931895.00,5650000,226.000000000000,
10/20/2023,BAUG,2SPY  240731C00550950,2SPY  240731C00550950,SPY 07/31/2024 550.95 C,-4299.00,0.460800,-198097.92,-0.11%,185931895.00,5650000,226.000000000000,
10/20/2023,BAUG,2SPY  240731P00416590,2SPY  240731P00416590,SPY 07/31/2024 416.59 P,-4299.00,18.199600,-7824008.04,-4.21%,185931895.00,5650000,226.000000000000,
10/20/2023,BAUG,2SPY  240731P00457800,2SPY  240731P00457800,SPY 07/31/2024 457.8 P,4299.00,32.989300,14182100.07,7.63%,185931895.00,5650000,226.000000000000,
10/20/2023,BAUG,Cash&Other,Cash&Other,Cash & Other,367133.51,1.000000,367133.51,0.20%,185931895.00,5650000,226.000000000000,Y
10/20/2023,BDEC,2SPY  231130C00004090,2SPY  231130C00004090,SPY 11/30/2023 4.09 C,2294.00,422.391200,96896541.28,99.12%,97760320.00,2800000,112.000000000000,
10/20/2023,BDEC,2SPY  231130C00509600,2SPY  231130C00509600,SPY 11/30/2023 509.6 C,-2294.00,0.013400,-3073.96,0.00%,97760320.00,2800000,112.000000000000,
10/20/2023,BDEC,2SPY  231130P00370990,2SPY  231130P00370990,SPY 11/30/2023 370.99 P,-2294.00,1.164600,-267159.24,-0.27%,97760320.00,2800000,112.000000000000,
10/20/2023,BDEC,2SPY  231130P00407690,2SPY  231130P00407690,SPY 11/30/2023 407.69 P,2294.00,4.184300,959878.42,0.98%,97760320.00,2800000,112.000000000000,
10/20/2023,BDEC,Cash&Other,Cash&Other,Cash & Other,167874.98,1.000000,167874.98,0.17%,97760320.00,2800000,112.000000000000,Y
10/20/2023,BFEB,2SPY  240131C00004080,2SPY  240131C00004080,SPY 01/31/2024 4.08 C,2269.00,420.647200,95444849.68,98.80%,96603930.00,2900000,116.000000000000,
10/20/2023,BFEB,2SPY  240131C00485660,2SPY  240131C00485660,SPY 01/31/2024 485.66 C,-2269.00,0.453900,-102989.91,-0.11%,96603930.00,2900000,116.000000000000,
10/20/2023,BFEB,2SPY  240131P00369900,2SPY  240131P00369900,SPY 01/31/2024 369.9 P,-2269.00,3.621100,-821627.59,-0.85%,96603930.00,2900000,116.000000000000,
10/20/2023,BFEB,2SPY  240131P00406490,2SPY  240131P00406490,SPY 01/31/2024 406.49 P,2269.00,8.336700,1891597.23,1.96%,96603930.00,2900000,116.000000000000,
10/20/2023,BFEB,Cash&Other,Cash&Other,Cash & Other,185943.76,1.000000,185943.76,0.19%,96603930.00,2900000,116.000000000000,Y
10/20/2023,BJAN,2SPY  231229C00003840,2SPY  231229C00003840,SPY 12/29/2023 3.84 C,3576.00,420.817400,150484302.24,99.42%,151360687.50,4125000,165.000000000000,
10/20/2023,BJAN,2SPY  231229C00478310,2SPY  231229C00478310,SPY 12/29/2023 478.31 C,-3576.00,0.239400,-85609.44,-0.06%,151360687.50,4125000,165.000000000000,
10/20/2023,BJAN,2SPY  231229P00348010,2SPY  231229P00348010,SPY 12/29/2023 348.01 P,-3576.00,1.448200,-517876.32,-0.34%,151360687.50,4125000,165.000000000000,
10/20/2023,BJAN,2SPY  231229P00382440,2SPY  231229P00382440,SPY 12/29/2023 382.44 P,3576.00,3.322300,1188054.48,0.78%,151360687.50,4125000,165.000000000000,
10/20/2023,BJAN,Cash&Other,Cash&Other,Cash & Other,282131.58,1.000000,282131.58,0.19%,151360687.50,4125000,165.000000000000,Y
10/20/2023,BJUL,2SPY  240628C00004450,2SPY  240628C00004450,SPY 06/28/2024 4.45 C,8098.00,417.470000,338067206.00,97.12%,348085350.00,10125000,405.000000000000,
10/20/2023,BJUL,2SPY  240628C00528610,2SPY  240628C00528610,SPY 06/28/2024 528.61 C,-8098.00,0.630000,-510174.00,-0.15%,348085350.00,10125000,405.000000000000,
10/20/2023,BJUL,2SPY  240628P00403380,2SPY  240628P00403380,SPY 06/28/2024 403.38 P,-8098.00,14.160000,-11466768.00,-3.29%,348085350.00,10125000,405.000000000000,
10/20/2023,BJUL,2SPY  240628P00443290,2SPY  240628P00443290,SPY 06/28/2024 443.29 P,8098.00,26.170000,21192466.00,6.09%,348085350.00,10125000,405.000000000000,
10/20/2023,BJUL,Cash&Other,Cash&Other,Cash & Other,782283.64,1.000000,782283.64,0.22%,348085350.00,10125000,405.000000000000,Y
10/20/2023,BJUN,2SPY  240531C00004190,2SPY  240531C00004190,SPY 05/31/2024 4.19 C,2444.00,419.180000,102447592.00,98.44%,104070467.50,3175000,127.000000000000,
10/20/2023,BJUN,2SPY  240531C00501130,2SPY  240531C00501130,SPY 05/31/2024 501.13 C,-2444.00,1.760000,-430144.00,-0.41%,104070467.50,3175000,127.000000000000,
10/20/2023,BJUN,2SPY  240531P00380240,2SPY  240531P00380240,SPY 05/31/2024 380.24 P,-2444.00,8.820000,-2155608.00,-2.07%,104070467.50,3175000,127.000000000000,
10/20/2023,BJUN,2SPY  240531P00417860,2SPY  240531P00417860,SPY 05/31/2024 417.86 P,2444.00,16.410000,4010604.00,3.85%,104070467.50,3175000,127.000000000000,
10/20/2023,BJUN,Cash&Other,Cash&Other,Cash & Other,191243.48,1.000000,191243.48,0.18%,104070467.50,3175000,127.000000000000,Y
10/20/2023,BMAR,2SPY  240229C00003970,2SPY  240229C00003970,SPY 02/29/2024 3.97 C,2097.00,420.863200,88255013.04,99.23%,88942595.00,2450000,98.000000000000,
10/20/2023,BMAR,2SPY  240229C00480470,2SPY  240229C00480470,SPY 02/29/2024 480.47 C,-2097.00,1.374600,-288253.62,-0.32%,88942595.00,2450000,98.000000000000,
10/20/2023,BMAR,2SPY  240229P00360600,2SPY  240229P00360600,SPY 02/29/2024 360.6 P,-2097.00,3.838000,-804828.60,-0.90%,88942595.00,2450000,98.000000000000,
