Date,Account,StockTicker,CUSIP,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits,MoneyMarketFlag
09/25/2023,APRD,4SPX  240328P03656950,4SPX  240328P03656950,SPX 03/28/2024 3656.95 P,255.00,41.900400,1068460.20,9.99%,10694955.00,425000,17.000000000000,
09/25/2023,APRD,4SPX  240328P03698040,4SPX  240328P03698040,SPX 03/28/2024 3698.04 P,-272.00,45.190600,-1229184.32,-11.49%,10694955.00,425000,17.000000000000,
09/25/2023,APRD,4XSP  240328P00369800,4XSP  240328P00369800,XSP 03/28/2024 369.8 P,-85.00,4.463400,-37938.90,-0.35%,10694955.00,425000,17.000000000000,
09/25/2023,APRD,912796CS6,912796CS6,UNITED STATES TREAS BILLS 09/28/2023,242500.00,99.956417,242394.31,2.27%,10694955.00,425000,17.000000000000,
09/25/2023,APRD,912796ZN2,912796ZN2,UNITED STATES TREAS BILLS 12/28/2023,243000.00,98.616437,239637.94,2.24%,10694955.00,425000,17.000000000000,
09/25/2023,APRD,912797LL9,912797LL9,UNITED STATES TREAS BILLS 03/21/2024,10686300.00,97.380598,10406382.84,97.30%,10694955.00,425000,17.000000000000,
09/25/2023,APRD,Cash&Other,Cash&Other,Cash & Other,4972.91,1.000000,4972.91,0.05%,10694955.00,425000,17.000000000000,Y
09/25/2023,APRH,4SPX  240328P03246050,4SPX  240328P03246050,SPX 03/28/2024 3246.05 P,1346.00,20.671800,2782424.28,9.86%,28209712.50,1125000,45.000000000000,
09/25/2023,APRH,4SPX  240328P03287140,4SPX  240328P03287140,SPX 03/28/2024 3287.14 P,-1391.00,22.103900,-3074652.49,-10.90%,28209712.50,1125000,45.000000000000,
09/25/2023,APRH,4XSP  240328P00328710,4XSP  240328P00328710,XSP 03/28/2024 328.71 P,-223.00,2.182800,-48676.44,-0.17%,28209712.50,1125000,45.000000000000,
09/25/2023,APRH,912796CS6,912796CS6,UNITED STATES TREAS BILLS 09/28/2023,546900.00,99.956417,546661.64,1.94%,28209712.50,1125000,45.000000000000,
09/25/2023,APRH,912796ZN2,912796ZN2,UNITED STATES TREAS BILLS 12/28/2023,548000.00,98.616437,540418.07,1.92%,28209712.50,1125000,45.000000000000,
09/25/2023,APRH,912797LL9,912797LL9,UNITED STATES TREAS BILLS 03/21/2024,28184200.00,97.380598,27445942.50,97.29%,28209712.50,1125000,45.000000000000,
09/25/2023,APRH,Cash&Other,Cash&Other,Cash & Other,16988.91,1.000000,16988.91,0.06%,28209712.50,1125000,45.000000000000,Y
09/25/2023,APRJ,4SPX  240328P02835160,4SPX  240328P02835160,SPX 03/28/2024 2835.16 P,3768.00,10.847000,4087149.60,7.80%,52369800.00,2100000,84.000000000000,
09/25/2023,APRJ,4SPX  240328P02876250,4SPX  240328P02876250,SPX 03/28/2024 2876.25 P,-3852.00,11.554700,-4450870.44,-8.50%,52369800.00,2100000,84.000000000000,
09/25/2023,APRJ,4XSP  240328P00287630,4XSP  240328P00287630,XSP 03/28/2024 287.63 P,-416.00,1.142500,-47528.00,-0.09%,52369800.00,2100000,84.000000000000,
